"AAAA","BBB"
"GPSData(longitude=16.5237, latitude=48.1267, altitude=591.7, track=313.5, ground_speed=89.1)","AttitudeData(true_heading=312.9, pitch=10.36, roll=24.76)",1744314509.355347
"GPSData(longitude=16.5227, latitude=48.1272, altitude=600.6, track=316.5, ground_speed=89.7)","AttitudeData(true_heading=315.8, pitch=9.9, roll=25.97)",1744314510.36765
"GPSData(longitude=16.5218, latitude=48.1278, altitude=608.7, track=319.5, ground_speed=90.2)","AttitudeData(true_heading=318.9, pitch=9.66, roll=26.66)",1744314511.3799329
"GPSData(longitude=16.5211, latitude=48.1283, altitude=614.9, track=321.9, ground_speed=90.7)","AttitudeData(true_heading=321.9, pitch=9.43, roll=26.75)",1744314512.3926148
"GPSData(longitude=16.5203, latitude=48.129, altitude=622.5, track=324.8, ground_speed=91.3)","AttitudeData(true_heading=324.8, pitch=9.19, roll=25.9)",1744314513.40564
"GPSData(longitude=16.5195, latitude=48.1297, altitude=629.8, track=327.3, ground_speed=91.9)","AttitudeData(true_heading=327.3, pitch=8.99, roll=24.08)",1744314514.417973
"GPSData(longitude=16.5188, latitude=48.1304, altitude=637.1, track=329.6, ground_speed=92.5)","AttitudeData(true_heading=329.2, pitch=8.81, roll=22.05)",1744314515.433098
"GPSData(longitude=16.5181, latitude=48.1311, altitude=644.2, track=331.4, ground_speed=93.2)","AttitudeData(true_heading=331.1, pitch=8.58, roll=19.23)",1744314516.44627
"GPSData(longitude=16.5175, latitude=48.1319, altitude=651.4, track=333.0, ground_speed=93.9)","AttitudeData(true_heading=332.7, pitch=8.32, roll=16.3)",1744314517.459618
"GPSData(longitude=16.5169, latitude=48.1327, altitude=658.5, track=334.3, ground_speed=94.6)","AttitudeData(true_heading=334.1, pitch=8.11, roll=13.57)",1744314518.471092
"GPSData(longitude=16.5164, latitude=48.1333, altitude=664.3, track=335.2, ground_speed=95.2)","AttitudeData(true_heading=335.2, pitch=7.92, roll=11.2)",1744314519.483959
"GPSData(longitude=16.5158, latitude=48.1341, altitude=671.4, track=336.1, ground_speed=95.9)","AttitudeData(true_heading=336.1, pitch=7.77, roll=9.31)",1744314520.4974878
"GPSData(longitude=16.5153, latitude=48.135, altitude=678.7, track=336.9, ground_speed=96.6)","AttitudeData(true_heading=336.9, pitch=7.63, roll=7.77)",1744314521.511091
"GPSData(longitude=16.5148, latitude=48.1358, altitude=686.1, track=337.6, ground_speed=97.3)","AttitudeData(true_heading=337.6, pitch=7.51, roll=6.55)",1744314522.526927
"GPSData(longitude=16.5142, latitude=48.1366, altitude=693.6, track=338.1, ground_speed=98.1)","AttitudeData(true_heading=338.0, pitch=7.42, roll=5.77)",1744314523.538374
"GPSData(longitude=16.5137, latitude=48.1375, altitude=700.8, track=338.7, ground_speed=99.0)","AttitudeData(true_heading=338.5, pitch=7.51, roll=5.0)",1744314524.550972
"GPSData(longitude=16.5132, latitude=48.1384, altitude=707.2, track=339.1, ground_speed=100.1)","AttitudeData(true_heading=339.0, pitch=7.84, roll=4.36)",1744314525.5654871
"GPSData(longitude=16.5128, latitude=48.1391, altitude=711.8, track=339.4, ground_speed=101.1)","AttitudeData(true_heading=339.4, pitch=8.26, roll=3.85)",1744314526.57932
"GPSData(longitude=16.5123, latitude=48.14, altitude=717.0, track=339.8, ground_speed=102.2)","AttitudeData(true_heading=339.8, pitch=8.71, roll=3.43)",1744314527.593434
"GPSData(longitude=16.5118, latitude=48.1409, altitude=722.3, track=340.1, ground_speed=103.3)","AttitudeData(true_heading=340.1, pitch=9.06, roll=3.05)",1744314528.605061
"GPSData(longitude=16.5113, latitude=48.1418, altitude=728.3, track=340.3, ground_speed=104.3)","AttitudeData(true_heading=340.3, pitch=9.35, roll=2.78)",1744314529.6192682
"GPSData(longitude=16.5108, latitude=48.1427, altitude=735.1, track=340.5, ground_speed=105.3)","AttitudeData(true_heading=340.5, pitch=9.67, roll=2.45)",1744314530.631729
"GPSData(longitude=16.5103, latitude=48.1436, altitude=742.7, track=340.7, ground_speed=106.2)","AttitudeData(true_heading=340.7, pitch=9.92, roll=2.15)",1744314531.644741
"GPSData(longitude=16.5098, latitude=48.1446, altitude=751.1, track=340.9, ground_speed=107.0)","AttitudeData(true_heading=340.9, pitch=10.06, roll=1.85)",1744314532.658877
"GPSData(longitude=16.5094, latitude=48.1454, altitude=758.2, track=341.0, ground_speed=107.6)","AttitudeData(true_heading=341.0, pitch=10.19, roll=1.6)",1744314533.671726
"GPSData(longitude=16.5089, latitude=48.1463, altitude=767.7, track=341.1, ground_speed=108.4)","AttitudeData(true_heading=341.1, pitch=10.28, roll=1.37)",1744314534.687498
