"AAAA","BBB"
"GPSData(longitude=14.725, latitude=51.5138, altitude=7118.9, track=340.4, ground_speed=219.8)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.01)",1744316397.173418
"GPSData(longitude=14.7239, latitude=51.5157, altitude=7107.5, track=340.4, ground_speed=219.6)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316398.195202
"GPSData(longitude=14.7228, latitude=51.5176, altitude=7096.1, track=340.4, ground_speed=219.4)","AttitudeData(true_heading=340.4, pitch=-1.68, roll=0.0)",1744316399.216461
"GPSData(longitude=14.7217, latitude=51.5195, altitude=7084.6, track=340.4, ground_speed=219.2)","AttitudeData(true_heading=340.4, pitch=-1.68, roll=0.01)",1744316400.2416298
"GPSData(longitude=14.7206, latitude=51.5215, altitude=7073.0, track=340.4, ground_speed=219.0)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=-0.0)",1744316401.265345
"GPSData(longitude=14.7195, latitude=51.5234, altitude=7061.5, track=340.4, ground_speed=218.8)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=0.01)",1744316402.2878861
"GPSData(longitude=14.7186, latitude=51.5249, altitude=7052.1, track=340.4, ground_speed=218.7)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=0.0)",1744316403.312286
"GPSData(longitude=14.7175, latitude=51.5268, altitude=7040.7, track=340.4, ground_speed=218.5)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=-0.0)",1744316404.338283
"GPSData(longitude=14.7164, latitude=51.5288, altitude=7028.8, track=340.4, ground_speed=218.3)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=0.0)",1744316405.360379
"GPSData(longitude=14.7153, latitude=51.5307, altitude=7017.3, track=340.4, ground_speed=218.1)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=0.01)",1744316406.3848882
"GPSData(longitude=14.7141, latitude=51.5327, altitude=7005.5, track=340.4, ground_speed=217.9)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=0.0)",1744316407.4085581
"GPSData(longitude=14.713, latitude=51.5346, altitude=6993.7, track=340.4, ground_speed=217.8)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=0.0)",1744316408.4328132
"GPSData(longitude=14.712, latitude=51.5365, altitude=6982.4, track=340.4, ground_speed=217.6)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=0.0)",1744316409.458085
"GPSData(longitude=14.7109, latitude=51.5384, altitude=6970.7, track=340.4, ground_speed=217.4)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.0)",1744316410.4839349
"GPSData(longitude=14.7098, latitude=51.5403, altitude=6959.2, track=340.4, ground_speed=217.2)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.01)",1744316411.5066729
"GPSData(longitude=14.7089, latitude=51.5419, altitude=6949.9, track=340.4, ground_speed=217.1)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.0)",1744316412.51843
"GPSData(longitude=14.7078, latitude=51.5438, altitude=6937.9, track=340.4, ground_speed=216.9)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=-0.0)",1744316413.5316238
"GPSData(longitude=14.7067, latitude=51.5457, altitude=6926.4, track=340.4, ground_speed=216.7)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=-0.0)",1744316414.553163
"GPSData(longitude=14.7056, latitude=51.5476, altitude=6914.6, track=340.4, ground_speed=216.5)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316415.5738392
"GPSData(longitude=14.7045, latitude=51.5495, altitude=6903.0, track=340.4, ground_speed=216.4)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316416.593311
"GPSData(longitude=14.7034, latitude=51.5514, altitude=6891.3, track=340.4, ground_speed=216.2)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316417.616278
"GPSData(longitude=14.7023, latitude=51.5534, altitude=6879.5, track=340.4, ground_speed=216.0)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316418.640485
"GPSData(longitude=14.7012, latitude=51.5552, altitude=6868.0, track=340.4, ground_speed=215.8)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316419.660963
"GPSData(longitude=14.7002, latitude=51.5571, altitude=6856.4, track=340.4, ground_speed=215.7)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316420.686431
"GPSData(longitude=14.6991, latitude=51.559, altitude=6844.6, track=340.4, ground_speed=215.5)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316421.7093608
"GPSData(longitude=14.6982, latitude=51.5606, altitude=6835.3, track=340.4, ground_speed=215.3)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.01)",1744316422.733747
"GPSData(longitude=14.6971, latitude=51.5625, altitude=6823.5, track=340.4, ground_speed=215.2)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.01)",1744316423.758181
"GPSData(longitude=14.696, latitude=51.5644, altitude=6811.7, track=340.4, ground_speed=215.0)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.01)",1744316424.782859
"GPSData(longitude=14.6949, latitude=51.5663, altitude=6800.0, track=340.4, ground_speed=214.8)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316425.808119
"GPSData(longitude=14.6938, latitude=51.5682, altitude=6788.0, track=340.4, ground_speed=214.7)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.01)",1744316426.8330739
"GPSData(longitude=14.6927, latitude=51.5701, altitude=6776.4, track=340.4, ground_speed=214.5)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316427.846635
"GPSData(longitude=14.6917, latitude=51.572, altitude=6764.7, track=340.4, ground_speed=214.3)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.01)",1744316428.860117
"GPSData(longitude=14.6908, latitude=51.5735, altitude=6755.4, track=340.4, ground_speed=214.2)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316429.873678
"GPSData(longitude=14.6897, latitude=51.5754, altitude=6743.8, track=340.4, ground_speed=214.0)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316430.887143
"GPSData(longitude=14.6886, latitude=51.5773, altitude=6732.0, track=340.4, ground_speed=213.8)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=-0.0)",1744316431.900168
"GPSData(longitude=14.6876, latitude=51.5792, altitude=6720.5, track=340.4, ground_speed=213.7)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316432.91384
"GPSData(longitude=14.6865, latitude=51.581, altitude=6708.7, track=340.4, ground_speed=213.5)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316433.927368
"GPSData(longitude=14.6854, latitude=51.583, altitude=6696.8, track=340.4, ground_speed=213.3)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=-0.0)",1744316434.940733
"GPSData(longitude=14.6843, latitude=51.5849, altitude=6685.1, track=340.4, ground_speed=213.1)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=-0.0)",1744316435.9543
"GPSData(longitude=14.6834, latitude=51.5864, altitude=6675.8, track=340.4, ground_speed=213.0)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.0)",1744316436.968935
"GPSData(longitude=14.6824, latitude=51.5882, altitude=6664.7, track=340.4, ground_speed=212.9)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316437.992983
"GPSData(longitude=14.6813, latitude=51.5901, altitude=6652.8, track=340.4, ground_speed=212.7)","AttitudeData(true_heading=340.4, pitch=-1.74, roll=0.01)",1744316439.018204
"GPSData(longitude=14.6802, latitude=51.5919, altitude=6641.5, track=340.4, ground_speed=212.5)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316440.041059
"GPSData(longitude=14.6792, latitude=51.5938, altitude=6629.8, track=340.4, ground_speed=212.3)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316441.065672
"GPSData(longitude=14.6781, latitude=51.5957, altitude=6618.1, track=340.4, ground_speed=212.2)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=-0.0)",1744316442.087088
"GPSData(longitude=14.677, latitude=51.5976, altitude=6606.4, track=340.4, ground_speed=212.0)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316443.112973
"GPSData(longitude=14.6759, latitude=51.5994, altitude=6595.0, track=340.4, ground_speed=211.8)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316444.1381261
"GPSData(longitude=14.6749, latitude=51.6013, altitude=6583.3, track=340.4, ground_speed=211.7)","AttitudeData(true_heading=340.4, pitch=-1.73, roll=0.0)",1744316445.160264
"GPSData(longitude=14.6738, latitude=51.6032, altitude=6571.7, track=340.4, ground_speed=211.5)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.0)",1744316446.186337
"GPSData(longitude=14.6729, latitude=51.6047, altitude=6562.3, track=340.4, ground_speed=211.4)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.01)",1744316447.2091851
"GPSData(longitude=14.6718, latitude=51.6066, altitude=6550.7, track=340.4, ground_speed=211.2)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.01)",1744316448.2332458
"GPSData(longitude=14.6708, latitude=51.6085, altitude=6538.9, track=340.4, ground_speed=211.0)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.0)",1744316449.2573628
"GPSData(longitude=14.6697, latitude=51.6103, altitude=6527.5, track=340.4, ground_speed=210.8)","AttitudeData(true_heading=340.4, pitch=-1.72, roll=0.01)",1744316450.28099
"GPSData(longitude=14.6686, latitude=51.6122, altitude=6515.9, track=340.4, ground_speed=210.7)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=0.01)",1744316451.3031402
"GPSData(longitude=14.6676, latitude=51.6141, altitude=6504.3, track=340.4, ground_speed=210.5)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=0.01)",1744316452.3264482
"GPSData(longitude=14.6665, latitude=51.6159, altitude=6492.8, track=340.4, ground_speed=210.3)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=-0.0)",1744316453.351682
"GPSData(longitude=14.6654, latitude=51.6178, altitude=6481.3, track=340.4, ground_speed=210.2)","AttitudeData(true_heading=340.4, pitch=-1.71, roll=-0.0)",1744316454.372604
"GPSData(longitude=14.6645, latitude=51.6193, altitude=6471.9, track=340.4, ground_speed=210.0)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=-0.0)",1744316455.396843
"GPSData(longitude=14.6635, latitude=51.6212, altitude=6460.4, track=340.4, ground_speed=209.9)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=0.0)",1744316456.4187908
"GPSData(longitude=14.6624, latitude=51.623, altitude=6448.9, track=340.4, ground_speed=209.7)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=-0.0)",1744316457.43746
"GPSData(longitude=14.6613, latitude=51.6249, altitude=6437.4, track=340.4, ground_speed=209.5)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=0.01)",1744316458.4611552
"GPSData(longitude=14.6603, latitude=51.6267, altitude=6426.1, track=340.4, ground_speed=209.3)","AttitudeData(true_heading=340.4, pitch=-1.7, roll=0.01)",1744316459.4871418
"GPSData(longitude=14.6592, latitude=51.6286, altitude=6414.5, track=340.4, ground_speed=209.2)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=0.01)",1744316460.510956
"GPSData(longitude=14.6582, latitude=51.6304, altitude=6403.2, track=340.4, ground_speed=209.0)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=-0.0)",1744316461.5368571
"GPSData(longitude=14.6571, latitude=51.6323, altitude=6391.8, track=340.4, ground_speed=208.8)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=-0.0)",1744316462.55801
"GPSData(longitude=14.6562, latitude=51.6338, altitude=6382.6, track=340.4, ground_speed=208.7)","AttitudeData(true_heading=340.4, pitch=-1.69, roll=-0.0)",1744316463.5821161
"GPSData(longitude=14.6552, latitude=51.6356, altitude=6371.3, track=340.4, ground_speed=208.5)","AttitudeData(true_heading=340.4, pitch=-1.68, roll=-0.0)",1744316464.60697
"GPSData(longitude=14.6541, latitude=51.6375, altitude=6359.9, track=340.4, ground_speed=208.4)","AttitudeData(true_heading=340.4, pitch=-1.68, roll=0.0)",1744316465.6311018
"GPSData(longitude=14.6531, latitude=51.6393, altitude=6348.6, track=340.4, ground_speed=208.2)","AttitudeData(true_heading=340.4, pitch=-1.68, roll=0.0)",1744316466.650602
"GPSData(longitude=14.652, latitude=51.6412, altitude=6337.2, track=340.4, ground_speed=208.0)","AttitudeData(true_heading=340.4, pitch=-1.68, roll=0.0)",1744316467.6716218
"GPSData(longitude=14.651, latitude=51.643, altitude=6326.0, track=340.4, ground_speed=207.8)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316468.6946938
"GPSData(longitude=14.6499, latitude=51.6448, altitude=6314.7, track=340.4, ground_speed=207.7)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316469.718632
"GPSData(longitude=14.6488, latitude=51.6467, altitude=6303.2, track=340.4, ground_speed=207.5)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316470.741654
"GPSData(longitude=14.648, latitude=51.6482, altitude=6294.2, track=340.4, ground_speed=207.4)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316471.765263
"GPSData(longitude=14.6469, latitude=51.65, altitude=6282.9, track=340.4, ground_speed=207.2)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316472.7870479
"GPSData(longitude=14.6459, latitude=51.6518, altitude=6271.5, track=340.4, ground_speed=207.0)","AttitudeData(true_heading=340.4, pitch=-1.66, roll=0.0)",1744316473.8115351
"GPSData(longitude=14.6448, latitude=51.6537, altitude=6260.3, track=340.4, ground_speed=206.9)","AttitudeData(true_heading=340.4, pitch=-1.66, roll=0.0)",1744316474.8356512
"GPSData(longitude=14.6438, latitude=51.6555, altitude=6249.2, track=340.4, ground_speed=206.7)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.01)",1744316475.85862
"GPSData(longitude=14.6427, latitude=51.6573, altitude=6237.9, track=340.4, ground_speed=206.5)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316476.882347
"GPSData(longitude=14.6417, latitude=51.6591, altitude=6226.6, track=340.4, ground_speed=206.3)","AttitudeData(true_heading=340.4, pitch=-1.67, roll=0.0)",1744316477.905935
"GPSData(longitude=14.6406, latitude=51.661, altitude=6215.3, track=340.4, ground_speed=206.2)","AttitudeData(true_heading=340.4, pitch=-1.66, roll=0.0)",1744316478.930645
"GPSData(longitude=14.6396, latitude=51.6628, altitude=6204.1, track=340.4, ground_speed=206.0)","AttitudeData(true_heading=340.4, pitch=-1.66, roll=0.01)",1744316479.95118
"GPSData(longitude=14.6387, latitude=51.6643, altitude=6194.9, track=340.4, ground_speed=205.9)","AttitudeData(true_heading=340.4, pitch=-1.66, roll=0.0)",1744316480.991266
"GPSData(longitude=14.6377, latitude=51.6661, altitude=6183.7, track=340.4, ground_speed=205.7)","AttitudeData(true_heading=340.4, pitch=-1.65, roll=0.01)",1744316482.040769
"GPSData(longitude=14.6366, latitude=51.6679, altitude=6172.5, track=340.4, ground_speed=205.5)","AttitudeData(true_heading=340.4, pitch=-1.65, roll=0.01)",1744316483.082677
"GPSData(longitude=14.6354, latitude=51.6701, altitude=6159.1, track=340.4, ground_speed=205.3)","AttitudeData(true_heading=340.4, pitch=-1.65, roll=-0.0)",1744316484.165944
"GPSData(longitude=14.6343, latitude=51.6719, altitude=6147.9, track=340.4, ground_speed=205.2)","AttitudeData(true_heading=340.4, pitch=-1.65, roll=0.0)",1744316485.240899
"GPSData(longitude=14.6333, latitude=51.6737, altitude=6136.7, track=340.4, ground_speed=205.0)","AttitudeData(true_heading=340.4, pitch=-1.64, roll=0.0)",1744316486.332624
"GPSData(longitude=14.6322, latitude=51.6756, altitude=6125.6, track=340.4, ground_speed=204.8)","AttitudeData(true_heading=340.4, pitch=-1.64, roll=0.0)",1744316487.407635
"GPSData(longitude=14.6312, latitude=51.6774, altitude=6114.4, track=340.4, ground_speed=204.6)","AttitudeData(true_heading=340.4, pitch=-1.64, roll=0.01)",1744316488.4906912
"GPSData(longitude=14.6301, latitude=51.6792, altitude=6103.2, track=340.4, ground_speed=204.5)","AttitudeData(true_heading=340.4, pitch=-1.64, roll=0.01)",1744316489.5573719
"GPSData(longitude=14.6289, latitude=51.6814, altitude=6090.0, track=340.4, ground_speed=204.3)","AttitudeData(true_heading=340.4, pitch=-1.63, roll=0.0)",1744316490.640657
"GPSData(longitude=14.6279, latitude=51.6831, altitude=6079.0, track=340.4, ground_speed=204.1)","AttitudeData(true_heading=340.4, pitch=-1.63, roll=-0.0)",1744316491.707325
"GPSData(longitude=14.6268, latitude=51.6849, altitude=6067.9, track=340.4, ground_speed=203.9)","AttitudeData(true_heading=340.4, pitch=-1.63, roll=0.0)",1744316492.790675
"GPSData(longitude=14.6258, latitude=51.6868, altitude=6056.8, track=340.4, ground_speed=203.8)","AttitudeData(true_heading=340.4, pitch=-1.63, roll=-0.0)",1744316493.865949
"GPSData(longitude=14.6247, latitude=51.6886, altitude=6045.7, track=340.4, ground_speed=203.6)","AttitudeData(true_heading=340.4, pitch=-1.63, roll=0.0)",1744316494.949228
"GPSData(longitude=14.6237, latitude=51.6903, altitude=6034.8, track=340.4, ground_speed=203.4)","AttitudeData(true_heading=340.4, pitch=-1.62, roll=0.0)",1744316495.973879
"GPSData(longitude=14.6227, latitude=51.6921, altitude=6023.7, track=340.4, ground_speed=203.3)","AttitudeData(true_heading=340.4, pitch=-1.62, roll=0.01)",1744316496.988651
"GPSData(longitude=14.6216, latitude=51.6939, altitude=6012.6, track=340.4, ground_speed=203.1)","AttitudeData(true_heading=340.4, pitch=-1.62, roll=0.0)",1744316498.002571
"GPSData(longitude=14.6206, latitude=51.6957, altitude=6001.9, track=340.4, ground_speed=202.9)","AttitudeData(true_heading=340.4, pitch=-1.62, roll=0.0)",1744316499.015451
"GPSData(longitude=14.6198, latitude=51.6972, altitude=5993.0, track=340.4, ground_speed=202.8)","AttitudeData(true_heading=340.4, pitch=-1.62, roll=0.0)",1744316500.029501
"GPSData(longitude=14.6188, latitude=51.699, altitude=5981.9, track=340.4, ground_speed=202.6)","AttitudeData(true_heading=340.4, pitch=-1.61, roll=0.01)",1744316501.04321
"GPSData(longitude=14.6177, latitude=51.7007, altitude=5970.9, track=340.4, ground_speed=202.4)","AttitudeData(true_heading=340.4, pitch=-1.61, roll=0.01)",1744316502.056302
"GPSData(longitude=14.6167, latitude=51.7025, altitude=5959.9, track=340.4, ground_speed=202.3)","AttitudeData(true_heading=340.4, pitch=-1.61, roll=0.0)",1744316503.0694442
"GPSData(longitude=14.6157, latitude=51.7043, altitude=5949.0, track=340.4, ground_speed=202.1)","AttitudeData(true_heading=340.4, pitch=-1.61, roll=0.0)",1744316504.083254
"GPSData(longitude=14.6146, latitude=51.7061, altitude=5938.0, track=340.4, ground_speed=201.9)","AttitudeData(true_heading=340.4, pitch=-1.6, roll=0.0)",1744316505.097688
"GPSData(longitude=14.6138, latitude=51.7076, altitude=5929.1, track=340.4, ground_speed=201.8)","AttitudeData(true_heading=340.4, pitch=-1.6, roll=-0.0)",1744316506.110007
"GPSData(longitude=14.6128, latitude=51.7094, altitude=5918.0, track=340.4, ground_speed=201.6)","AttitudeData(true_heading=340.4, pitch=-1.6, roll=-0.0)",1744316507.124193
"GPSData(longitude=14.6117, latitude=51.7112, altitude=5907.0, track=340.4, ground_speed=201.5)","AttitudeData(true_heading=340.4, pitch=-1.6, roll=0.0)",1744316508.136619
"GPSData(longitude=14.6107, latitude=51.7129, altitude=5896.4, track=340.4, ground_speed=201.3)","AttitudeData(true_heading=340.4, pitch=-1.6, roll=0.0)",1744316509.150014
"GPSData(longitude=14.6097, latitude=51.7147, altitude=5885.4, track=340.4, ground_speed=201.1)","AttitudeData(true_heading=340.4, pitch=-1.6, roll=0.0)",1744316510.162445
"GPSData(longitude=14.6087, latitude=51.7164, altitude=5874.6, track=340.3, ground_speed=201.0)","AttitudeData(true_heading=340.3, pitch=-1.59, roll=0.0)",1744316511.175724
"GPSData(longitude=14.6077, latitude=51.7182, altitude=5863.7, track=340.3, ground_speed=200.8)","AttitudeData(true_heading=340.3, pitch=-1.59, roll=0.0)",1744316512.1901598
"GPSData(longitude=14.6068, latitude=51.7196, altitude=5855.0, track=340.3, ground_speed=200.7)","AttitudeData(true_heading=340.3, pitch=-1.59, roll=0.01)",1744316513.2043679
"GPSData(longitude=14.6058, latitude=51.7214, altitude=5844.0, track=340.3, ground_speed=200.5)","AttitudeData(true_heading=340.3, pitch=-1.59, roll=0.0)",1744316514.217931
"GPSData(longitude=14.6048, latitude=51.7232, altitude=5833.3, track=340.3, ground_speed=200.3)","AttitudeData(true_heading=340.3, pitch=-1.59, roll=0.0)",1744316515.22926
"GPSData(longitude=14.6038, latitude=51.7249, altitude=5822.7, track=340.3, ground_speed=200.2)","AttitudeData(true_heading=340.3, pitch=-1.58, roll=0.0)",1744316516.2435908
"GPSData(longitude=14.6028, latitude=51.7267, altitude=5811.9, track=340.3, ground_speed=200.0)","AttitudeData(true_heading=340.3, pitch=-1.58, roll=0.0)",1744316517.2597399
"GPSData(longitude=14.6017, latitude=51.7285, altitude=5800.8, track=340.3, ground_speed=199.8)","AttitudeData(true_heading=340.3, pitch=-1.58, roll=0.0)",1744316518.273164
"GPSData(longitude=14.6007, latitude=51.7302, altitude=5789.9, track=340.3, ground_speed=199.7)","AttitudeData(true_heading=340.3, pitch=-1.58, roll=0.0)",1744316519.287335
"GPSData(longitude=14.5999, latitude=51.7316, altitude=5781.3, track=340.3, ground_speed=199.5)","AttitudeData(true_heading=340.3, pitch=-1.58, roll=0.01)",1744316520.3001878
"GPSData(longitude=14.5979, latitude=51.7352, altitude=5759.7, track=340.3, ground_speed=199.2)","AttitudeData(true_heading=340.3, pitch=-1.58, roll=0.0)",1744316522.254186
"GPSData(longitude=14.5969, latitude=51.7369, altitude=5749.0, track=340.3, ground_speed=199.0)","AttitudeData(true_heading=340.3, pitch=-1.57, roll=-0.0)",1744316523.26457
"GPSData(longitude=14.5959, latitude=51.7387, altitude=5738.2, track=340.3, ground_speed=198.9)","AttitudeData(true_heading=340.3, pitch=-1.57, roll=-0.0)",1744316524.277656
"GPSData(longitude=14.5951, latitude=51.7401, altitude=5729.6, track=340.3, ground_speed=198.7)","AttitudeData(true_heading=340.3, pitch=-1.57, roll=-0.0)",1744316525.290855
"GPSData(longitude=14.594, latitude=51.7418, altitude=5718.8, track=340.3, ground_speed=198.6)","AttitudeData(true_heading=340.3, pitch=-1.57, roll=-0.0)",1744316526.304559
"GPSData(longitude=14.593, latitude=51.7436, altitude=5708.0, track=340.3, ground_speed=198.4)","AttitudeData(true_heading=340.3, pitch=-1.57, roll=0.0)",1744316527.3190641
"GPSData(longitude=14.592, latitude=51.7453, altitude=5697.2, track=340.3, ground_speed=198.2)","AttitudeData(true_heading=340.3, pitch=-1.56, roll=0.0)",1744316528.333378
"GPSData(longitude=14.591, latitude=51.7471, altitude=5686.4, track=340.3, ground_speed=198.1)","AttitudeData(true_heading=340.3, pitch=-1.56, roll=0.0)",1744316529.348313
"GPSData(longitude=14.5902, latitude=51.7485, altitude=5677.6, track=340.3, ground_speed=197.9)","AttitudeData(true_heading=340.3, pitch=-1.56, roll=0.01)",1744316530.362684
"GPSData(longitude=14.5892, latitude=51.7503, altitude=5667.0, track=340.3, ground_speed=197.8)","AttitudeData(true_heading=340.3, pitch=-1.56, roll=0.01)",1744316531.377135
"GPSData(longitude=14.5882, latitude=51.752, altitude=5656.2, track=340.3, ground_speed=197.6)","AttitudeData(true_heading=340.3, pitch=-1.55, roll=0.0)",1744316532.402143
"GPSData(longitude=14.5871, latitude=51.7538, altitude=5645.5, track=340.3, ground_speed=197.4)","AttitudeData(true_heading=340.3, pitch=-1.55, roll=0.01)",1744316533.427302
"GPSData(longitude=14.5862, latitude=51.7555, altitude=5634.9, track=340.3, ground_speed=197.3)","AttitudeData(true_heading=340.3, pitch=-1.55, roll=0.01)",1744316534.451412
"GPSData(longitude=14.5851, latitude=51.7572, altitude=5624.1, track=340.3, ground_speed=197.1)","AttitudeData(true_heading=340.3, pitch=-1.54, roll=0.01)",1744316535.4768589
"GPSData(longitude=14.5841, latitude=51.759, altitude=5613.4, track=340.3, ground_speed=197.0)","AttitudeData(true_heading=340.3, pitch=-1.53, roll=0.0)",1744316536.501784
"GPSData(longitude=14.5831, latitude=51.7607, altitude=5602.7, track=340.3, ground_speed=196.8)","AttitudeData(true_heading=340.3, pitch=-1.53, roll=0.01)",1744316537.5222201
"GPSData(longitude=14.5822, latitude=51.7624, altitude=5592.6, track=340.3, ground_speed=196.7)","AttitudeData(true_heading=340.3, pitch=-1.51, roll=0.0)",1744316538.547997
"GPSData(longitude=14.5812, latitude=51.7641, altitude=5582.0, track=340.3, ground_speed=196.5)","AttitudeData(true_heading=340.3, pitch=-1.48, roll=-0.0)",1744316539.571168
"GPSData(longitude=14.5801, latitude=51.7659, altitude=5571.5, track=340.3, ground_speed=196.4)","AttitudeData(true_heading=340.3, pitch=-1.44, roll=0.0)",1744316540.5967438
"GPSData(longitude=14.5792, latitude=51.7676, altitude=5561.3, track=340.3, ground_speed=196.3)","AttitudeData(true_heading=340.3, pitch=-1.41, roll=0.0)",1744316541.6182048
"GPSData(longitude=14.5784, latitude=51.769, altitude=5553.1, track=340.3, ground_speed=196.2)","AttitudeData(true_heading=340.3, pitch=-1.37, roll=0.0)",1744316542.6449778
"GPSData(longitude=14.5773, latitude=51.7707, altitude=5542.8, track=340.3, ground_speed=196.1)","AttitudeData(true_heading=340.3, pitch=-1.33, roll=0.0)",1744316543.66512
"GPSData(longitude=14.5763, latitude=51.7725, altitude=5532.9, track=340.3, ground_speed=196.0)","AttitudeData(true_heading=340.3, pitch=-1.3, roll=-0.0)",1744316544.6889641
"GPSData(longitude=14.5753, latitude=51.7742, altitude=5523.0, track=340.3, ground_speed=195.9)","AttitudeData(true_heading=340.3, pitch=-1.27, roll=0.01)",1744316545.7137978
"GPSData(longitude=14.5743, latitude=51.7759, altitude=5513.2, track=340.3, ground_speed=195.8)","AttitudeData(true_heading=340.3, pitch=-1.26, roll=0.0)",1744316546.738942
"GPSData(longitude=14.5733, latitude=51.7777, altitude=5503.5, track=340.3, ground_speed=195.7)","AttitudeData(true_heading=340.3, pitch=-1.24, roll=0.01)",1744316547.764997
"GPSData(longitude=14.5723, latitude=51.7794, altitude=5494.1, track=340.3, ground_speed=195.6)","AttitudeData(true_heading=340.3, pitch=-1.24, roll=0.0)",1744316548.789471
"GPSData(longitude=14.5713, latitude=51.7811, altitude=5484.5, track=340.3, ground_speed=195.6)","AttitudeData(true_heading=340.3, pitch=-1.24, roll=0.0)",1744316549.8155038
"GPSData(longitude=14.5703, latitude=51.7828, altitude=5474.9, track=340.3, ground_speed=195.5)","AttitudeData(true_heading=340.3, pitch=-1.25, roll=0.0)",1744316550.842709
"GPSData(longitude=14.5695, latitude=51.7843, altitude=5467.2, track=340.3, ground_speed=195.5)","AttitudeData(true_heading=340.3, pitch=-1.26, roll=0.0)",1744316551.870215
"GPSData(longitude=14.5685, latitude=51.786, altitude=5457.8, track=340.3, ground_speed=195.4)","AttitudeData(true_heading=340.3, pitch=-1.28, roll=0.01)",1744316552.895883
"GPSData(longitude=14.5676, latitude=51.7877, altitude=5448.3, track=340.3, ground_speed=195.4)","AttitudeData(true_heading=340.3, pitch=-1.3, roll=0.01)",1744316553.9205608
